'FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
16.801,48.449,-9.377,-14.066,34.774,16.801,-19.145,9.768,41.807,-18.364,-13.675,29.695,27.741,-25.788,5.861,30.476,9.377,-30.867,10.159,-20.317,-48.84,10.159,5.861
19.536,43.37,-17.582,-19.145,38.291,5.47,-23.834,5.861,53.919,-27.741,-17.973,10.549,30.085,-19.145,-0.781,8.205,1.954,-34.383,18.364,-25.397,-42.979,7.424,-0.781
10.159,35.946,-22.662,-27.35,26.178,3.126,-29.304,-4.298,32.039,-25.397,-14.066,-8.205,7.424,-9.768,-1.954,-12.112,0.391,-32.821,23.443,-25.006,-46.105,8.987,-1.954
-19.927,29.695,-25.397,-25.006,-16.41,11.722,-31.258,-5.47,8.987,-22.662,-12.503,11.722,1.563,-14.457,-9.768,7.424,-1.563,-28.132,26.178,-12.112,-55.482,9.377,-9.768
-42.198,26.569,-30.867,-17.973,-50.403,19.536,-30.476,-3.126,-23.443,-14.066,-11.722,23.053,-14.457,-12.112,-17.973,17.192,3.126,-27.35,31.648,-6.642,-58.608,15.238,-17.973
-32.821,28.913,-25.788,-15.629,-33.993,18.364,-27.35,-2.735,-38.291,-7.033,-11.331,3.516,-36.728,0.391,-12.503,-3.907,10.549,-30.867,26.569,-21.88,-43.37,17.973,-12.503
-32.43,39.853,-21.88,-20.708,-24.615,25.788,-24.225,-12.503,-36.337,-7.033,-10.549,-8.987,-39.463,13.284,-25.788,-11.722,12.112,-29.304,22.662,-25.006,-34.383,30.867,-25.788
-41.026,49.621,-37.509,-11.331,-35.556,28.913,-20.317,-12.894,-38.291,-9.377,-14.066,-5.47,-32.821,-14.457,-23.443,2.735,11.331,-29.304,38.291,-24.225,-35.556,14.457,-23.443
-60.171,35.165,-32.821,-0.781,-55.482,30.476,-22.271,-10.94,-31.648,-12.112,-22.662,-6.642,-28.523,-35.556,-16.41,5.861,9.377,-33.602,33.602,-20.317,-21.099,1.172,-16.41
-66.422,28.523,-21.88,2.735,-52.747,20.317,-19.927,-3.516,-26.178,-16.801,-33.211,-1.172,-31.258,-28.913,-19.927,1.563,5.079,-33.602,22.662,-26.96,3.516,3.907,-19.927
-57.827,17.973,-17.582,20.708,-44.151,-1.954,-14.066,24.615,-28.913,-20.317,-53.919,19.927,-40.244,-26.96,-14.457,-1.954,-1.172,-32.43,18.364,-52.357,33.602,9.768,-14.457
-33.602,7.033,1.563,26.178,-10.159,-13.675,-0.781,27.741,5.861,-16.41,-46.105,13.284,-8.205,-20.708,-7.424,-7.033,4.689,-21.88,-0.781,-50.794,49.231,14.847,-7.424
-26.178,17.582,19.536,5.47,15.238,-11.331,10.549,1.954,37.118,-8.205,-28.523,-21.099,10.159,-1.172,-5.079,-24.615,11.722,-8.987,-18.755,-43.37,49.231,21.099,-5.079
-36.728,29.695,0,4.298,-1.172,7.424,1.172,-9.377,39.463,-7.814,-16.02,-15.238,21.099,-29.304,4.298,3.516,6.252,-3.126,0.781,-29.695,-1.563,16.41,4.298
-66.032,37.509,-12.894,7.424,-45.324,28.913,1.563,-19.145,9.377,-5.079,-8.205,-26.96,1.172,-43.761,0.391,11.331,9.768,-0.781,13.675,-21.88,-18.755,11.331,0.391
-83.614,40.244,-19.145,3.516,-75.8,44.542,0.391,-26.96,-23.053,0,-9.768,-39.853,-25.006,-58.217,0.391,8.205,11.722,-4.689,19.927,-15.629,-28.523,-1.954,0.391
-66.032,46.496,-40.244,10.94,-72.283,42.198,0,-17.192,-32.821,-4.298,-14.066,-15.629,-30.867,-62.125,-5.079,30.867,10.159,-10.159,41.026,-38.291,-26.96,-0.391,-5.079
-66.813,22.271,-10.94,15.238,-77.363,42.979,4.689,-10.549,-14.847,-10.159,-16.41,0.391,-26.569,-41.026,-18.364,43.37,15.238,-10.549,11.722,-22.271,-15.629,13.675,-18.364
-42.589,18.755,10.94,9.377,-17.192,27.35,3.907,-15.238,25.006,-12.112,-8.596,-17.973,-8.205,-12.112,-18.364,23.443,16.801,-12.112,-10.159,-17.973,-4.298,21.88,-18.364
-4.298,23.053,12.112,9.377,44.933,11.331,0,-15.238,64.078,-18.364,-6.642,-23.834,7.814,10.94,-19.145,14.457,10.94,-13.284,-11.331,-28.132,-4.298,35.946,-19.145
0.781,17.192,13.284,10.549,58.608,8.596,-2.735,-19.927,74.237,-20.708,-9.377,-4.689,23.053,5.861,-22.271,29.695,1.172,-11.722,-12.503,-17.192,-7.424,41.807,-22.271
3.126,21.49,3.516,3.516,69.158,5.079,-2.735,-37.509,56.264,-19.536,-8.205,-11.331,20.317,-23.443,-8.205,27.741,-5.079,-11.331,-2.735,-12.894,0.391,17.582,-8.205
1.563,19.536,3.907,1.172,57.436,11.331,-1.954,-38.681,36.728,-27.35,-7.814,-26.178,-1.954,-38.681,-1.172,14.847,-8.596,-14.066,-3.126,-10.159,-5.079,8.987,-1.172
-37.118,12.894,1.172,10.549,0.391,21.49,-3.907,-28.913,5.861,-33.211,-10.549,-20.708,-31.258,-42.979,-3.907,17.973,-8.987,-14.457,-0.391,-10.549,-4.689,7.814,-3.907
-80.488,5.47,0.781,19.536,-49.231,16.02,3.126,-23.053,-17.192,-27.35,-10.94,-12.503,-39.853,-37.9,-16.02,24.225,-2.344,-12.894,0,-7.033,6.642,9.377,-16.02
-98.462,-3.907,5.079,26.178,-65.641,1.172,9.768,-15.238,-36.728,-17.192,-13.675,-7.424,-45.324,-35.556,-16.02,21.49,4.298,-17.582,-4.298,-14.066,23.834,9.377,-16.02
