'FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
16.41,-44.933,-10.549,-0.391,-22.271,3.907,-27.35,5.47,-46.105,-17.192,0.391,-18.364,-16.801,-39.072,-7.424,-17.973,-10.549,-19.145,11.331,32.039,2.344,-48.449,-7.424
52.747,-45.714,-9.377,5.079,15.629,2.344,-25.006,8.205,-39.072,-13.675,-1.172,-14.457,-15.629,-37.118,-3.126,-13.284,-5.861,-22.662,10.159,26.178,6.252,-41.807,-3.126
51.966,-47.668,-13.284,0.391,13.675,1.172,-23.443,-0.391,-29.695,-9.377,-0.391,-34.774,-14.457,-34.383,0.391,-26.96,-2.735,-27.741,14.066,32.821,-8.987,-35.556,0.391
62.515,-47.277,-17.973,2.344,21.88,3.907,-26.178,-0.781,-35.556,-7.424,-1.954,-44.933,-29.695,-29.695,1.954,-34.774,-1.954,-29.695,18.755,34.383,-16.801,-30.867,1.954
60.171,-48.84,-12.503,1.954,17.582,4.298,-23.834,1.563,-33.602,-4.689,-4.689,-28.523,-21.49,-33.602,2.344,-21.099,0,-30.476,13.284,33.211,-13.284,-28.913,2.344
19.145,-51.184,-12.503,-0.781,-20.708,-1.563,-18.755,-5.079,-47.277,-5.079,-5.861,-26.178,-27.741,-44.933,-1.172,-12.503,-0.391,-32.039,13.284,46.105,-19.927,-33.211,-1.172
5.079,-46.105,-9.377,-5.861,-30.867,0.391,-19.536,-7.424,-50.403,-4.298,-2.344,-43.37,-37.9,-33.993,-1.954,-28.132,-4.689,-37.118,10.159,39.853,-12.503,-33.211,-1.954
24.615,-42.589,1.563,-0.391,-1.172,-0.391,-19.536,4.298,-45.714,-9.768,-5.079,-41.026,-42.589,-25.006,-5.47,-30.867,-11.722,-39.072,-0.781,25.006,10.549,-32.821,-5.47
35.556,-44.151,5.861,4.689,16.02,-7.424,-12.112,6.642,-64.469,-8.205,-9.768,-27.741,-51.184,-29.695,-12.112,-17.973,-12.894,-33.211,-5.079,28.913,24.615,-36.728,-12.112
0.781,-51.966,7.424,7.033,-15.629,-17.582,-6.252,4.689,-48.84,-3.126,-10.94,-29.695,-35.165,-20.708,-14.066,-22.662,-14.457,-28.132,-6.642,30.476,33.993,-35.556,-14.066
-10.549,-55.873,10.159,19.927,-21.88,-33.993,-11.722,32.039,-63.297,0,-30.085,-22.662,-63.297,9.377,-17.973,-46.105,-18.364,-33.211,-9.377,-6.252,82.442,-24.615,-17.973
-29.695,-53.138,12.894,12.112,-39.463,-41.807,-3.516,28.523,-67.985,4.689,-26.569,-27.35,-67.985,19.536,-11.331,-58.217,-12.503,-27.35,-12.112,-15.629,89.475,-17.973,-11.331
-21.49,-44.542,13.284,-5.079,-31.258,-28.913,6.642,-4.298,-52.357,13.284,-8.987,-57.045,-48.84,16.02,-8.987,-65.25,-4.689,-12.112,-12.503,3.907,64.078,-22.662,-8.987
1.563,-39.072,11.331,-3.126,-7.424,-12.112,0,-8.987,-46.105,12.894,0,-58.217,-43.37,7.424,-7.033,-49.231,-7.814,-8.205,-10.549,19.145,31.648,-23.443,-7.033
19.927,-30.085,21.099,-10.159,10.549,0.781,-0.391,-8.987,-62.125,12.894,5.861,-56.264,-58.999,1.563,-5.47,-36.728,-6.252,-2.735,-20.317,21.49,15.629,-21.88,-5.47
30.867,-28.523,22.662,-8.205,18.755,7.033,0.391,-9.768,-64.078,16.02,9.377,-60.562,-58.217,-2.344,-3.126,-36.337,-4.689,3.907,-21.88,32.821,3.907,-24.615,-3.126
1.954,-30.476,22.271,-4.689,-12.894,2.344,-1.954,1.172,-61.343,16.02,4.689,-62.515,-60.952,1.172,-0.391,-43.37,-6.252,4.298,-21.49,33.602,-5.47,-19.145,-0.391
-3.907,-30.476,20.708,-3.907,-21.49,-3.907,-2.735,10.94,-62.906,17.973,0.781,-57.827,-66.032,11.331,-4.298,-42.979,-7.033,3.516,-19.927,29.695,-6.252,-13.284,-4.298
